class,isosurface_points,isosurface_cells,mean_intensity,median_intensity,std_intensity,min_intensity,max_intensity,q25_intensity,q75_intensity,intensity_range,iqr_intensity,voxel_count,high_intensity_voxels,voxel_ratio,high_intensity_ratio,point_cell_ratio,cell_density,point_density
glioma,18638,36624,0.08624448268169689,0.03595782482169369,0.10769903894566465,0.0,0.7803921699523926,0.0003843809652007642,0.15216839828702908,0.7803921699523926,0.1517840173218283,374464,1379,0.35711669921875,0.0013151168823242188,0.5089012669287899,0.09780379422320971,0.04977247479063408
glioma,52046,103312,0.12153953663522102,0.07015426651383348,0.13452337904050615,0.0,0.9333333373069763,0.014016454497482018,0.20278447664563173,0.9333333373069763,0.18876802214814972,459331,9573,0.4380521774291992,0.009129524230957031,0.5037749728976305,0.2249184139542073,0.11330826789395883
glioma,46910,93172,0.10927197820972104,0.026268950609337687,0.1368817600155049,0.0,0.9019607901573181,0.007833690315866042,0.1985231405196001,0.9019607901573181,0.19068945020373407,403337,8284,0.38465213775634766,0.007900238037109375,0.5034774395741209,0.2310028586516982,0.1163047278082596
glioma,33836,67372,0.1032721115362697,0.05508432874718154,0.1192656562211861,0.0,0.7686274647712708,0.010893534366301489,0.17118170418356182,0.7686274647712708,0.16028816981726032,409722,5590,0.39074134826660156,0.0053310394287109375,0.5022264442201508,0.1644334451164448,0.0825828244517014
glioma,28306,56108,0.06835183084894457,0.007758247595793524,0.11406505690446707,0.0,0.8823529481887817,0.0,0.10352242149023917,0.8823529481887817,0.10352242149023917,265632,4692,0.253326416015625,0.004474639892578125,0.5044913381335995,0.21122455125888448,0.1065609565112637
glioma,8452,16552,0.06223420016624986,0.007246114409008495,0.09695946498749408,0.0,0.7960784435272217,0.0,0.10797614925241376,0.7960784435272217,0.10797614925241376,272976,384,0.2603302001953125,0.0003662109375,0.5106331561140648,0.060635367211769535,0.030962428931481156
glioma,32204,63660,0.09520886228006728,0.020756571116699936,0.12563926572272363,0.0,0.9490196108818054,0.00396341011742395,0.16615483915879775,0.9490196108818054,0.1621914290413738,365639,3101,0.34870052337646484,0.0029573440551757812,0.5058749607288722,0.17410615388402223,0.0880759437587347
glioma,30124,59672,0.07224916185881973,0.009951267791074815,0.1158319508519591,0.0,0.8117647171020508,0.0,0.11555539389804816,0.8117647171020508,0.11555539389804816,279652,3050,0.2666969299316406,0.0029087066650390625,0.5048263842338115,0.21337948593251613,0.10771959435298156
glioma,26222,51752,0.06507835888346113,0.00396341011742395,0.11136763041111769,0.0,0.8274509906768799,0.0,0.10457792826076598,0.8274509906768799,0.10457792826076598,266789,2168,0.25442981719970703,0.00206756591796875,0.5066857319523883,0.19398101121110692,0.09828741065036414
glioma,13442,26292,0.08148654582413141,0.01496075445969053,0.10941102503201594,0.0,0.7921568751335144,0.0003843809652007642,0.14142135834465192,0.7921568751335144,0.14103697737945114,346138,418,0.33010292053222656,0.0003986358642578125,0.5112581773923627,0.07595814386169678,0.038834222188837975
glioma,18258,35960,0.06572872608133037,0.00709011252223099,0.10136896926336546,0.0,0.7607843279838562,0.0,0.11982887492482579,0.7607843279838562,0.11982887492482579,290967,1103,0.27748775482177734,0.0010519027709960938,0.5077308120133481,0.12358789828399784,0.0627493839507573
glioma,5540,10832,0.055684514423723706,0.0069170299333669175,0.09476314288243465,0.0,0.7372549176216125,0.0,0.07503596836034512,0.7372549176216125,0.07503596836034512,230730,56,0.22004127502441406,5.340576171875e-05,0.5114475627769571,0.046946647596758116,0.024010748493910633
glioma,32316,64380,0.10108304300001249,0.05145462688620798,0.12117969328874564,0.0,0.8666666746139526,0.007833690315866042,0.16788174334478095,0.8666666746139526,0.16004805302891492,401761,6631,0.3831491470336914,0.006323814392089844,0.5019571295433365,0.16024452348535573,0.08043588103374892
