file,class,isosurface_points,isosurface_cells
data/vtk/glioma/Tr-gl_1.vtk,glioma,18638,36624
data/vtk/glioma/Tr-gl_10.vtk,glioma,52046,103312
data/vtk/glioma/Tr-gl_100.vtk,glioma,46910,93172
data/vtk/glioma/Tr-gl_1000.vtk,glioma,33836,67372
data/vtk/glioma/Tr-gl_1001.vtk,glioma,28306,56108
data/vtk/glioma/Tr-gl_1002.vtk,glioma,8452,16552
data/vtk/glioma/Tr-gl_1003.vtk,glioma,32204,63660
data/vtk/glioma/Tr-gl_1004.vtk,glioma,30124,59672
data/vtk/glioma/Tr-gl_1005.vtk,glioma,26222,51752
data/vtk/glioma/Tr-gl_1006.vtk,glioma,13442,26292
data/vtk/glioma/Tr-gl_1007.vtk,glioma,18258,35960
data/vtk/glioma/Tr-gl_1008.vtk,glioma,5540,10832
data/vtk/glioma/Tr-gl_1009.vtk,glioma,32316,64380
data/vtk/glioma/Tr-gl_101.vtk,glioma,22482,44512
data/vtk/glioma/Tr-gl_1010.vtk,glioma,11488,22520
data/vtk/glioma/Tr-gl_1011.vtk,glioma,27460,54320
data/vtk/glioma/Tr-gl_1012.vtk,glioma,26220,51756
data/vtk/glioma/Tr-gl_1013.vtk,glioma,3054,5936
data/vtk/glioma/Tr-gl_1014.vtk,glioma,5160,10040
data/vtk/glioma/Tr-gl_1015.vtk,glioma,43994,87032
data/vtk/glioma/Tr-gl_1016.vtk,glioma,23708,46724
data/vtk/glioma/Tr-gl_1017.vtk,glioma,18222,35864
data/vtk/glioma/Tr-gl_1018.vtk,glioma,39506,78232
data/vtk/glioma/Tr-gl_1019.vtk,glioma,9006,17704
data/vtk/glioma/Tr-gl_102.vtk,glioma,42130,83756
data/vtk/glioma/Tr-gl_1020.vtk,glioma,17696,34944
data/vtk/glioma/Tr-gl_1021.vtk,glioma,4194,8192
data/vtk/glioma/Tr-gl_1022.vtk,glioma,23682,46760
data/vtk/glioma/Tr-gl_1023.vtk,glioma,39226,77576
data/vtk/glioma/Tr-gl_1024.vtk,glioma,5288,10312
data/vtk/glioma/Tr-gl_1025.vtk,glioma,22982,45448
data/vtk/glioma/Tr-gl_1026.vtk,glioma,19766,39016
data/vtk/glioma/Tr-gl_1027.vtk,glioma,31834,63020
data/vtk/glioma/Tr-gl_1028.vtk,glioma,30424,60432
data/vtk/glioma/Tr-gl_1029.vtk,glioma,46584,92508
data/vtk/glioma/Tr-gl_103.vtk,glioma,19734,38876
data/vtk/glioma/Tr-gl_1030.vtk,glioma,42550,84336
data/vtk/glioma/Tr-gl_1031.vtk,glioma,6086,11856
data/vtk/glioma/Tr-gl_1032.vtk,glioma,35662,70728
data/vtk/glioma/Tr-gl_1033.vtk,glioma,32818,64872
data/vtk/glioma/Tr-gl_1034.vtk,glioma,1156,2272
data/vtk/glioma/Tr-gl_1035.vtk,glioma,25852,51168
data/vtk/glioma/Tr-gl_1036.vtk,glioma,38392,75832
data/vtk/glioma/Tr-gl_1037.vtk,glioma,18922,37116
data/vtk/glioma/Tr-gl_1038.vtk,glioma,16982,33424
data/vtk/glioma/Tr-gl_1039.vtk,glioma,17282,33888
data/vtk/glioma/Tr-gl_104.vtk,glioma,10538,20576
data/vtk/glioma/Tr-gl_1040.vtk,glioma,4256,8304
data/vtk/glioma/Tr-gl_1041.vtk,glioma,6684,13096
data/vtk/glioma/Tr-gl_1042.vtk,glioma,13766,27144
data/vtk/glioma/Tr-gl_1043.vtk,glioma,42694,84960
data/vtk/glioma/Tr-gl_1044.vtk,glioma,60196,119720
data/vtk/glioma/Tr-gl_1045.vtk,glioma,23104,45552
data/vtk/glioma/Tr-gl_1046.vtk,glioma,8684,17040
data/vtk/glioma/Tr-gl_1047.vtk,glioma,12630,24824
data/vtk/glioma/Tr-gl_1048.vtk,glioma,26868,53148
data/vtk/glioma/Tr-gl_1049.vtk,glioma,7248,14180
data/vtk/glioma/Tr-gl_105.vtk,glioma,42246,83732
data/vtk/glioma/Tr-gl_1050.vtk,glioma,28968,57164
data/vtk/glioma/Tr-gl_1051.vtk,glioma,34084,67464
data/vtk/glioma/Tr-gl_1052.vtk,glioma,32768,64856
